,Period,espresso Lungo Sales,cappuccino classic Sales,Caramel flavor syrup Sales,Latte Classic Sales,cappuccino Grande Sales,Espresso with cream Sales,espresso classic Sales,Hazelnut flavor syrup Sales
235,25/08/2012,0.0,7.0,0.0,5.0,0.0,0.0,0.0,4.0
236,26/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,27/08/2012,43.0,33.0,6.0,13.0,8.0,6.0,10.0,0.0
238,28/08/2012,53.0,25.0,0.0,12.0,12.0,11.0,10.0,10.0
239,29/08/2012,47.0,41.0,6.0,7.0,5.0,7.0,11.0,1.0
240,30/08/2012,31.0,28.0,0.0,6.0,6.0,10.0,17.0,10.0
241,31/08/2012,52.0,30.0,4.0,13.0,10.0,7.0,17.0,8.0
242,01/09/2012,0.0,3.0,0.0,10.0,1.0,0.0,0.0,6.0
243,02/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,03/09/2012,31.0,24.0,0.0,6.0,7.0,9.0,10.0,4.0
245,04/09/2012,30.0,24.0,4.0,8.0,5.0,11.0,14.0,0.0
246,05/09/2012,41.0,27.0,18.0,9.0,10.0,12.0,15.0,14.0
247,06/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,07/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,08/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,09/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,10/09/2012,38.0,28.0,6.0,12.0,10.0,8.0,22.0,0.0
252,11/09/2012,47.0,37.0,4.0,6.0,3.0,13.0,13.0,24.0
253,12/09/2012,64.0,32.0,22.0,15.0,11.0,10.0,10.0,0.0
254,13/09/2012,55.0,28.0,8.0,17.0,5.0,6.0,14.0,8.0
255,14/09/2012,42.0,28.0,10.0,5.0,7.0,9.0,23.0,10.0
256,15/09/2012,0.0,5.0,4.0,4.0,0.0,2.0,0.0,4.0
257,16/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,17/09/2012,68.0,30.0,8.0,6.0,10.0,17.0,14.0,4.0
259,18/09/2012,50.0,39.0,0.0,11.0,18.0,16.0,11.0,0.0
260,19/09/2012,71.0,37.0,6.0,12.0,12.0,15.0,12.0,22.0
261,20/09/2012,69.0,33.0,0.0,9.0,7.0,7.0,7.0,8.0
262,21/09/2012,31.0,37.0,6.0,19.0,4.0,6.0,12.0,4.0
263,22/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,23/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,24/09/2012,44.0,16.0,0.0,9.0,12.0,4.0,17.0,0.0
266,25/09/2012,61.0,35.0,0.0,11.0,13.0,9.0,17.0,8.0
267,26/09/2012,50.0,43.0,22.0,17.0,18.0,8.0,14.0,20.0
268,27/09/2012,43.0,29.0,4.0,9.0,12.0,16.0,12.0,14.0
269,28/09/2012,38.0,28.0,10.0,12.0,6.0,14.0,9.0,13.0
270,29/09/2012,29.0,24.0,4.0,15.0,8.0,18.0,11.0,0.0
271,30/09/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,01/10/2012,42.0,39.0,6.0,9.0,9.0,10.0,9.0,22.0
273,02/10/2012,50.0,38.0,0.0,24.0,5.0,21.0,16.0,5.0
274,03/10/2012,76.0,65.0,10.0,30.0,16.0,12.0,40.0,12.0
275,04/10/2012,79.0,70.0,16.0,20.0,14.0,15.0,21.0,12.0
276,05/10/2012,60.0,59.0,20.0,22.0,20.0,10.0,36.0,6.0
277,06/10/2012,0.0,5.0,0.0,4.0,3.0,4.0,0.0,4.0
278,07/10/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,08/10/2012,73.0,60.0,4.0,21.0,17.0,12.0,10.0,19.0
280,09/10/2012,57.0,73.0,12.0,30.0,15.0,21.0,32.0,4.0
281,10/10/2012,42.0,63.0,12.0,17.0,11.0,23.0,26.0,16.0
282,11/10/2012,65.0,92.0,14.0,25.0,10.0,12.0,13.0,14.0
283,12/10/2012,59.0,52.0,22.0,29.0,10.0,17.0,21.0,12.0
284,13/10/2012,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0
285,14/10/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,15/10/2012,85.0,69.0,22.0,22.0,14.0,16.0,14.0,10.0
287,16/10/2012,97.0,58.0,6.0,21.0,22.0,16.0,21.0,4.0
288,17/10/2012,105.0,77.0,8.0,25.0,20.0,13.0,19.0,10.0
289,18/10/2012,105.0,83.0,14.0,17.0,20.0,13.0,15.0,18.0
290,19/10/2012,93.0,68.0,26.0,29.0,11.0,20.0,11.0,16.0
291,20/10/2012,0.0,12.0,4.0,7.0,1.0,9.0,0.0,4.0
292,21/10/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,22/10/2012,76.0,65.0,12.0,31.0,17.0,32.0,12.0,22.0
294,23/10/2012,101.0,69.0,36.0,23.0,14.0,11.0,19.0,22.0
295,24/10/2012,83.0,81.0,20.0,18.0,15.0,23.0,17.0,8.0
296,25/10/2012,87.0,70.0,22.0,22.0,17.0,23.0,14.0,22.0
